2026-07-01 15:44:31,024 | INFO | API Request | POST /fapi/v1/order | params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001, 'timestamp': 1782900871023, 'recvWindow': 5000}
2026-07-01 15:44:31,528 | INFO | API Response | status_code=200 | response={'orderId': 18211393557, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'ZPrwUZpCuuOp5us8KubDjn', 'price': '0.00', 'origQty': '0.0010', 'executedQty': '0.0000', 'cumQty': '0.0000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1782900871558}
2026-07-01 15:44:55,971 | INFO | API Request | POST /fapi/v1/order | params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'LIMIT', 'quantity': 0.001, 'price': 60000.0, 'timeInForce': 'GTC', 'timestamp': 1782900895971, 'recvWindow': 5000}
2026-07-01 15:44:56,280 | INFO | API Response | status_code=200 | response={'orderId': 18211451242, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'CxqfhU49nTFKo3rbG6qXSf', 'price': '60000.00', 'origQty': '0.0010', 'executedQty': '0.0000', 'cumQty': '0.0000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1782900896313}
2026-07-01 15:46:03,022 | INFO | API Request | POST /fapi/v1/order | params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001, 'timestamp': 1782900963022, 'recvWindow': 5000}
2026-07-01 15:46:03,595 | INFO | API Response | status_code=200 | response={'orderId': 18211665102, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'xRT6CagUscI5V0Nj9v3SW3', 'price': '0.00', 'origQty': '0.0010', 'executedQty': '0.0000', 'cumQty': '0.0000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1782900963625}
2026-07-01 15:46:09,370 | INFO | API Request | POST /fapi/v1/order | params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'LIMIT', 'quantity': 0.001, 'price': 60000.0, 'timeInForce': 'GTC', 'timestamp': 1782900969370, 'recvWindow': 5000}
2026-07-01 15:46:09,682 | INFO | API Response | status_code=200 | response={'orderId': 18211681291, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'YrA3bFW0QQwy1ZHqoZs22q', 'price': '60000.00', 'origQty': '0.0010', 'executedQty': '0.0000', 'cumQty': '0.0000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1782900969715}
2026-07-01 16:09:01,177 | INFO | API Request | POST /fapi/v1/order | params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'LIMIT', 'quantity': 0.001, 'price': 60000.0, 'timeInForce': 'GTC', 'timestamp': 1782902341176, 'recvWindow': 5000}
2026-07-01 16:09:01,819 | INFO | API Response | status_code=200 | response={'orderId': 18215770702, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': '5Tb23ImmUHehA5hJTCe1i4', 'price': '60000.00', 'origQty': '0.0010', 'executedQty': '0.0000', 'cumQty': '0.0000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1782902341815}
2026-07-01 16:09:11,400 | INFO | API Request | POST /fapi/v1/order | params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001, 'timestamp': 1782902351400, 'recvWindow': 5000}
2026-07-01 16:09:11,616 | INFO | API Response | status_code=200 | response={'orderId': 18215794679, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'OFzD2tQ9zPsD5I5vGDi9XH', 'price': '0.00', 'origQty': '0.0010', 'executedQty': '0.0000', 'cumQty': '0.0000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1782902351610}
2026-07-01 16:11:15,358 | INFO | API Request | POST /fapi/v1/order | params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001, 'timestamp': 1782902475358, 'recvWindow': 5000}
2026-07-01 16:11:15,813 | INFO | API Response | status_code=200 | response={'orderId': 18216141024, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'OA5lnpe4JKB8p2IUzeDKcg', 'price': '0.00', 'origQty': '0.0010', 'executedQty': '0.0000', 'cumQty': '0.0000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1782902475809}
2026-07-01 16:11:23,345 | INFO | API Request | POST /fapi/v1/order | params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'LIMIT', 'quantity': 0.001, 'price': 60000.0, 'timeInForce': 'GTC', 'timestamp': 1782902483345, 'recvWindow': 5000}
2026-07-01 16:11:23,560 | INFO | API Response | status_code=200 | response={'orderId': 18216152823, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': '3YKdJxQl4P3ojmQQYUCX2o', 'price': '60000.00', 'origQty': '0.0010', 'executedQty': '0.0000', 'cumQty': '0.0000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1782902483555}
2026-07-01 16:12:24,558 | INFO | API Request | POST /fapi/v1/order | params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001, 'timestamp': 1782902544558, 'recvWindow': 5000}
2026-07-01 16:12:24,783 | INFO | API Response | status_code=200 | response={'orderId': 18216324536, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'wWMO5hXVuYAAd1twFsKpNR', 'price': '0.00', 'origQty': '0.0010', 'executedQty': '0.0000', 'cumQty': '0.0000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1782902544776}
